Month-Year,Bar Height (in pixels),Approximate Value
Jan 2008,49,1203931
Feb 2008,53,1302211
Mar 2008,59,1449631
Apr 2008,64,1572482
May 2008,71,1744472
Jun 2008,74,1818182
Jul 2008,81,1990172
Aug 2008,87,2137592
Sep 2008,93,2285012
Oct 2008,99,2432432
Nov 2008,102,2506143
Dec 2008,108,2653563
Jan 2009,112,2751843
Feb 2009,117,2874693
Mar 2009,123,3022113
Apr 2009,130,3194103
May 2009,137,3366093
Jun 2009,143,3513514
Jul 2009,148,3636364
Aug 2009,153,3759214
Sep 2009,159,3906634
Oct 2009,166,4078624
Nov 2009,173,4250614
Dec 2009,180,4422604
Jan 2010,188,4619165
Feb 2010,197,4840295
Mar 2010,205,5036855
